name,type,value,avgtval,avgman,country,time,core
1,满江红,剧情,454589,50,24,中国,2023-01-22,
2,流浪地球2,科幻,403027,51,21,中国,2023-01-22,
3,消失的她,剧情,319982,42,23,中国,2023-06-22,
4,熊出没·伴我“熊芯”,动画,149594,46,19,中国,2023-01-22,
5,人生路不熟,喜剧,118559,41,9,中国,2023-04-28,
6,八角笼中,剧情,106346,41,20,中国,2023-07-06,
7,速度与激情10,动作,98416,38,9,美国,2023-05-17,
8,无名,剧情,93158,52,17,中国,2023-01-22,
9,深海,动画,91976,47,11,中国,2023-01-22,
10,长空之王,剧情,84425,42,10,中国,2023-04-28,
11,铃芽之旅,动画,80802,33,9,日本,2023-03-24,
12,阿凡达：水之道,动作,74333,46,7,美国,2022-12-16,
13,保你平安,剧情,70096,42,6,中国,2023-03-10,
14,灌篮高手,动画,65404,36,9,日本,2023-04-20,
15,变形金刚：超能勇士崛起,科幻,64492,37,9,美国,2023-06-09,
16,银河护卫队3,动作,60639,39,8,美国,2023-05-05,
17,我爱你！,剧情,41124,41,10,中国,2023-06-21,
18,交换人生,喜剧,39360,50,13,中国,2023-01-22,
19,蜘蛛侠：纵横宇宙,动画,35481,36,7,美国,2023-06-02,
20,长安三万里,动画,31067,42,20,中国,2023-07-08,
21,这么多年,爱情,30119,41,8,中国,2023-04-28,
22,忠犬八公,剧情,28669,37,6,中国,2023-03-31,
23,蚁人与黄蜂女：量子狂潮,动作,27232,41,5,美国,2023-02-17,
24,绝望主夫,喜剧,23977,41,4,中国,2022-12-31,
25,扫毒3：人在天涯,动作,21797,42,15,中国/中国香港,2023-07-06,


1,长津湖之水门桥,战争,406922,49,19,中国,2022-02-01,
2,独行月球,喜剧,310476,42,12,中国,2022-07-29,
3,这个杀手不太冷静,喜剧,262919,48,14,中国,2022-02-01,
4,人生大事,剧情,171316,40,10,中国,2022-06-24,
5,万里归途,剧情,159305,42,8,中国,2022-09-30,
6,奇迹·笨小孩,剧情,137993,46,11,中国,2022-02-01,
7,侏罗纪世界3,动作,105993,36,8,美国,2022-06-10,
8,熊出没·重返地球,动画,97830,47,16,中国,2022-02-01,
9,阿凡达：水之道,动作,95417,54,8,美国,2022-12-16,
10,神探大战,剧情,71224,38,8,中国/中国香港,2022-07-08,
11,明日战记,动作,67980,41,7,中国/中国香港,2022-08-05,
